,day,agg_lineitem_unblendedcost,agg_lineitem_usageamount,agg_lineitem_blendedcost,agg_pricing_publicondemandcost,agg_reservation_effectivecost,agg_reservation_amortizedupfrontfeeforbillingperiod,agg_reservation_amortizedupfrontcostforusage,agg_reservation_unusedamortizedupfrontfeeforbillingperiod,agg_reservation_unusednormalizedunitquantity,agg_reservation_recurringfeeforusage,agg_reservation_totalreservednormalizedunits,agg_reservation_unusedquantity,agg_reservation_unusedrecurringfee,agg_savingsplan_unusedamortizedupfrontcommitmentforbillingperiod,agg_savingsplan_totalcommitmenttodate,agg_savingsplan_savingsplaneffectivecost,agg_savingsplan_recurringcommitmentforbillingperiod,agg_savingsplan_amortizedcostforusage,agg_savingsplan_amortizedupfrontcommitmentforbillingperiod,bill_billingentity,bill_payeraccountid,lineitem_lineitemdescription,lineitem_lineitemtype,lineitem_operation,lineitem_usageaccountid,pricing_term,lineitem_usagetype,pricing_unit,pricing_purchaseoption,pricing_offeringclass,product_fromlocation,product_category,product_instancetype,product_instancefamily,product_operatingsystem,product_productfamily,product_productname,product_region,product_tolocation,reservation_endtime,reservation_starttime,reservation_reservationarn,reservation_modificationstatus,reservation_subscriptionid,savingsplan_endtime,savingsplan_starttime,savingsplan_savingsplanarn,savingsplan_region,savingsplan_purchaseterm,savingsplan_purchaseoption,savingsplan_paymentoption,savingsplan_instancetypefamily,reservation_duration,labels
20403,2022-01-01,1.02063e-05,0.612375,1.02063e-05,1.02063e-05,,,,,,,,,,,,9.1856e-06,,0.0,,AWS,116462199383,AWS Lambda - Total Compute - EU (Frankfurt),SavingsPlanCoveredUsage,Invoke,6712088242615,OnDemand,EUC1-Lambda-GB-Second,Lambda-GB-Second,,,,,,,,Serverless,AWS Lambda,eu-central-1,,,,,,,2024-12-14T18:46:21.000Z,2021-12-15T18:46:22.000Z,arn:aws:savingsplans::116462199383:savingsplan/bde60d73-a966-4281-9d90-5373eadb4e54,Any,3yr,NoUpfront,No Upfront,,,1
20421,2022-01-01,1.10146e-05,0.6608749999999999,1.10146e-05,1.10146e-05,,,,,,,,,,,,9.7149e-06,,0.0,,AWS,116462199383,AWS Lambda - Total Compute - Asia Pacific (Seoul),SavingsPlanCoveredUsage,Invoke,2512727619573,OnDemand,APN2-Lambda-GB-Second,Lambda-GB-Second,,,,,,,,Serverless,AWS Lambda,ap-northeast-2,,,,,,,2024-11-21T04:21:54.000Z,2021-11-22T04:21:55.000Z,arn:aws:savingsplans::116462199383:savingsplan/d7738762-ab10-4d7b-a691-e0f451150131,Any,3yr,NoUpfront,No Upfront,,,1
20451,2022-01-01,1.12042e-05,0.67225,1.12042e-05,1.12042e-05,,,,,,,,,,,,1.00838e-05,,0.0,,AWS,116462199383,AWS Lambda - Total Compute - US West (Northern California),SavingsPlanCoveredUsage,Invoke,6887245112376,OnDemand,USW1-Lambda-GB-Second,Lambda-GB-Second,,,,,,,,Serverless,AWS Lambda,us-west-1,,,,,,,2024-11-29T13:09:26.000Z,2021-11-30T13:09:27.000Z,arn:aws:savingsplans::116462199383:savingsplan/371cbc1c-1e71-4dbe-9b09-7e18cac310b7,Any,3yr,NoUpfront,No Upfront,,,1
20461,2022-01-01,0.0231999999999999,2.0,0.0229233902,0.0231999999999999,,,,,,,,,,,,0.0108,,0.004104,,AWS,116462199383,$0.0116 per On Demand Linux t2.micro Instance Hour,SavingsPlanCoveredUsage,RunInstances,9663871232271,OnDemand,BoxUsage:t2.micro,Hrs,,,,,t2.micro,General purpose,Linux,Compute Instance,Amazon Elastic Compute Cloud,us-east-1,,,,,,,2022-12-20T00:23:44.000Z,2019-12-21T00:23:45.000Z,arn:aws:savingsplans::116462199383:savingsplan/0494fc27-1d14-4125-a1af-a1fedc9ff166,Any,3yr,PartialUpfront,Partial Upfront,,,1
20509,2022-01-01,2.0000000000000002e-07,1.0,2.0000000000000002e-07,2.0000000000000002e-07,,,,,,,,,,,,2.0000000000000002e-07,,0.0,,AWS,116462199383,AWS Lambda - Total Requests - South America (Sao Paulo),SavingsPlanCoveredUsage,Invoke,748188127358,OnDemand,SAE1-Request,Request,,,,,,,,Serverless,AWS Lambda,sa-east-1,,,,,,,2024-12-14T18:46:21.000Z,2021-12-15T18:46:22.000Z,arn:aws:savingsplans::116462199383:savingsplan/bde60d73-a966-4281-9d90-5373eadb4e54,Any,3yr,NoUpfront,No Upfront,,,1
20511,2022-01-01,0.0,6.432780360000001,0.0,19.7615012661,10.08659961,,0.0,,,10.08659961,,,,,,,,,,AWS,116462199383,"Linux/UNIX (Amazon VPC), m5.large reserved instance applied",DiscountedUsage,RunInstances,3121213811993,Reserved,USW2-BoxUsage:m5.16xlarge,Hrs,No Upfront,convertible,,,m5.16xlarge,General purpose,Linux,Compute Instance,Amazon Elastic Compute Cloud,us-west-2,,,,arn:aws:ec2:us-west-2:301213811993:reserved-instances/c21ed539-dfb8-47f0-bddb-fc82dded5897,,4257660508.0,,,,,,No Upfront,,,,1
20524,2022-01-01,-224.645959666,146.25387997999997,-224.645959666,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 216356334682 and UsageSku : SNVTAJX5XNM27CDF,SavingsPlanNegation,RunInstances,216356334682,OnDemand,USW2-BoxUsage:m5.8xlarge,Hrs,,,,,m5.8xlarge,General purpose,Linux,Compute Instance,Amazon Elastic Compute Cloud,us-west-2,,,,,,,2024-05-18T01:23:45.000Z,2021-05-19T01:23:46.000Z,arn:aws:savingsplans::116462199383:savingsplan/0a302f7d-44eb-4671-815e-af8cf7c5ab86,Any,3yr,NoUpfront,No Upfront,,,1
20527,2022-01-01,-6.000000000000001e-07,3.0,-6.000000000000001e-07,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 089048653184 and UsageSku : GU2ZS9HVP6QTQ7KE,SavingsPlanNegation,Invoke,1289048653184,OnDemand,Request,Requests,,,,,,,,Serverless,AWS Lambda,us-east-1,,,,,,,2024-12-14T18:46:21.000Z,2021-12-15T18:46:22.000Z,arn:aws:savingsplans::116462199383:savingsplan/bde60d73-a966-4281-9d90-5373eadb4e54,Any,3yr,NoUpfront,No Upfront,,,1
20532,2022-01-01,-1.13063e-05,0.6783766399999999,-1.13063e-05,0.0,,,,,,,,,,,,,,,,AWS,116462199383,SavingsPlanNegation used by AccountId : 752892638502 and UsageSku : FSYUV9NMNDEXRJ5H,SavingsPlanNegation,Invoke,7528926385122,OnDemand,APN1-Lambda-GB-Second,seconds,,,,,,,,Serverless,AWS Lambda,ap-northeast-1,,,,,,,2024-11-23T22:25:34.000Z,2021-11-24T22:25:35.000Z,arn:aws:savingsplans::116462199383:savingsplan/17e04504-aaf4-44fa-a436-98e562675772,Any,3yr,NoUpfront,No Upfront,,,1
20537,2022-01-01,0.0,18.62524475,1.3790208101,12.66516643,6.10908029,,0.0,,,6.10908029,,,,,,,,,,AWS,116462199383,"Linux/UNIX (Amazon VPC), c5.large reserved instance applied",DiscountedUsage,RunInstances,7412363876937,Reserved,BoxUsage:c5.4xlarge,Hrs,No Upfront,convertible,,,c5.4xlarge,Compute optimized,Linux,Compute Instance,Amazon Elastic Compute Cloud,us-east-1,,,,arn:aws:ec2:us-east-1:116462199383:reserved-instances/e55f2297-390f-4a22-8add-61e6a583320f,,4240562849.0,,,,,,No Upfront,,,,1
